candidate_id,title,issuer,version_or_date,scope,alternative_or_constraint_mechanism,temporal_identity,independence,disposition,rationale
IT-NOSD-001,EASA Initial Airworthiness / Environmental Protection 21.A.134A / 21.B.115,EASA / European Commission,2024 revision; Reg EU 2022/201,Initial airworthiness and environmental protection,Alternative means of compliance subject to prior description and competent-authority approval,Identifiable publication/revision,Outcome-independent,RETAINED-CANDIDATE,Explicit alternative compliance pathway with authoritative provenance
IT-NOSD-002,EASA Continuing Airworthiness 145.A.120,EASA / European Commission,2025 revision; Reg EU 2021/1963,Continuing airworthiness and maintenance organisations,Alternative means of compliance subject to prior description and approval,Identifiable publication/revision,Outcome-independent,RETAINED-CANDIDATE,Explicit alternative compliance pathway with bounded scope
IT-NOSD-003,EASA Air Operations ARO.GEN.120,EASA / European Commission,Revision 24 March 2026; Reg EU 2019/1384,Civil aviation air operations,Alternative means of compliance evaluated and approved by competent authority,Identifiable publication/revision,Outcome-independent,RETAINED-CANDIDATE,Explicit alternative compliance mechanism and governance
IT-NOSD-004,EASA ATM/ANS ATM/ANS.AR.A.015 and ATM/ANS.OR.A.020,EASA / European Commission,Revision March 2025; Reg EU 2017/373,Air traffic management / air navigation services,AltMOC permitted subject to description assessment and prior approval,Identifiable publication/revision,Outcome-independent,RETAINED-CANDIDATE,Explicit alternative pathway and implementation conditions
IT-NOSD-005,AC 20-171 Alternatives to RTCA/DO-178B,FAA,2011-01-19,Airborne software certification,Defines applicant obligations for proposed alternative approach to recognised assurance method,Issued active document,Outcome-independent,RETAINED-CANDIDATE,Authoritative certification guidance explicitly addressing alternative approach
IT-NOSD-006,AC 39-10 Alternative Methods of Compliance,FAA,2016-09-14,Airworthiness directives,AMOC approval pathway for alternative compliance to an AD,Issued active document,Outcome-independent,RETAINED-CANDIDATE,Explicit AMOC mechanism with identifiable regulatory context
IT-NOSD-007,AC 20-148 Reusable Software Components,FAA,2004-12-07,Airborne reusable software components,One acceptable means of compliance but not the only means,Issued active document,Outcome-independent,RETAINED-CANDIDATE,Explicitly constrains but does not uniquely determine admissible compliance path
IT-NOSD-008,ERA-PRG-005/02-361 V1.0 Practical Arrangements for Vehicle Authorisation,European Union Agency for Railways,2018-09-21,European railway vehicle authorisation,Alternative methods for mandatory national rules and non-binding requirements including demonstrations/tests/risk assessment,Versioned historical identity,Outcome-independent,RETAINED-CANDIDATE,Explicit alternative-method taxonomy and assessment route
IT-NOSD-009,ISO 21745:2019 Electronic Record Books for Ships,ISO,Edition 1; published 2019-09-03; confirmed 2025-06-11,Maritime electronic record books,Minimum technical and operational requirements constrain admissible implementation/design space,Stable edition and confirmation status,Outcome-independent,RETAINED-CANDIDATE,Authoritative operational requirements with stable identity
IT-NOSD-010,ETSI TS 23.502 V19.6.0 Procedures for the 5G System,ETSI / 3GPP,2026-01 V19.6.0 Release 19,5G system procedures,Versioned technical procedures and conditions constrain admissible implementations/interactions,Explicit version and release,Outcome-independent,RETAINED-CANDIDATE,Authoritative technical specification with controlled versioning
IT-NOSD-011,EASA AMC/AltMoC explanatory overview,EASA,Current web overview,Aviation compliance guidance,Explains AMC/AltMoC but is informational rather than the primary normative instrument,Current page not normative,Independent,REJECTED,Primary EASA regulatory material available and preferred
IT-NOSD-012,ETSI Version Numbering System,ETSI,Current web guidance,Document management,Defines versioning of deliverables rather than operational admissibility,Current guidance,Independent,REJECTED,Provenance infrastructure not target operational specification
IT-NOSD-013,TRIS notification analysis of regulatory alternatives,European Commission TRIS,Published notification,Regulatory policy development,Analyses policy alternatives rather than constraining industrial decision-time admissibility,Historical notification,Independent,REJECTED,Policy-design alternatives are not operational accessibility evidence
